INDIR,FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,Fmin,Fmean,Fmax,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,TOP1MATCH,TOP1DIST,TOP2MATCH,TOP2DIST,TOP3MATCH,TOP3DIST,VOCALIZATIONS,MANUAL ID*,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200504_080502.wav,0,113.62133,1.621333,445.313,561.266,679.688,2020-05-04,08:06:55.621,8,2020-05-03,20:06:55.621,20,cluster.4,1.325198,cluster.1,1.373775,cluster.2,1.380292,1,Lyrtet_rugolio,,,,,N4enHBi2NgcjnDX0mv3fNg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200507_060102.wav,0,2164.821289,1.706667,421.875,546.705,703.125,2020-05-07,06:37:06.820,6,2020-05-06,18:37:06.820,18,cluster.4,1.325218,cluster.1,1.361953,cluster.0,1.362495,1,Lyrtet_rugolio,,,,,v8Mqh/734ZmXCVT7rnNxFw==
D:\LYRTET2020,Riederalp\LT2_VS_645670-137586\0418_0503\Data,LT2_20200419_063000.wav,0,620.671997,1.6,445.313,546.336,703.125,2020-04-19,06:40:20.672,6,2020-04-18,18:40:20.672,18,cluster.4,1.325221,cluster.0,1.345311,cluster.1,1.352545,1,Lyrtet_rugolio,,,,,jY8DfJPvzHMbTJbehkgNgA==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione1_25.04-03.05.2020\Data,LT1-ALKA_20200426_061802.wav,0,3335.082764,1.621333,445.313,548.077,679.688,2020-04-26,07:13:37.082,7,2020-04-25,19:13:37.082,19,cluster.4,1.325233,cluster.0,1.358901,cluster.1,1.359846,1,Lyrtet_rugolio,,,,,jUoDmY0C/0T7CaYK2WAITg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200504_060502.wav,0,3298.560059,1.749333,421.875,518.173,656.25,2020-05-04,07:00:00.560,7,2020-05-03,19:00:00.560,19,cluster.4,1.32524,cluster.1,1.372755,cluster.2,1.372869,1,Lyrtet_rugolio,,,,,qI2iU4F+DlKO4QVK8KrvLw==
D:\LYRTET2020,Riederalp\LT2_VS_645670-137586\0504_0516\Data,LT2_20200516_053000.wav,0,613.610657,1.578667,445.313,546.875,703.125,2020-05-16,05:40:13.609,5,2020-05-15,17:40:13.609,17,cluster.4,1.325246,cluster.0,1.354233,cluster.1,1.35623,1,Lyrtet_rugolio,,,,,6SquXUJJMXdMx6QD6d3YYA==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200504_080502.wav,0,529.536011,1.173333,468.75,575.284,703.125,2020-05-04,08:13:51.536,8,2020-05-03,20:13:51.536,20,cluster.4,1.32525,cluster.0,1.360533,cluster.2,1.367298,1,Lyrtet_rugolio,,,,,N4enHBi2NgcjnDX0mv3fNg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200505_080402.wav,0,3362.474609,1.941333,421.875,551.185,703.125,2020-05-05,09:00:04.474,9,2020-05-04,21:00:04.474,21,cluster.4,1.325259,cluster.2,1.373685,cluster.1,1.374897,1,Lyrtet_rugolio,,,,,7gT5s4uD/8+E0yya5+M5jw==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200507_080102.wav,0,2270.93335,1.6,421.875,523.125,632.813,2020-05-07,08:38:52.932,8,2020-05-06,20:38:52.932,20,cluster.4,1.32526,cluster.1,1.372514,cluster.2,1.376704,1,Lyrtet_rugolio,,,,,dfRf2pLypnF5HVqe1dUFng==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200507_080102.wav,0,2079.317383,1.493333,445.313,492.188,539.063,2020-05-07,08:35:41.317,8,2020-05-06,20:35:41.317,20,cluster.4,1.325261,cluster.2,1.370003,cluster.1,1.372755,1,Lyrtet_rugolio,,,,,dfRf2pLypnF5HVqe1dUFng==
