INDIR,FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,Fmin,Fmean,Fmax,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,TOP1MATCH,TOP1DIST,TOP2MATCH,TOP2DIST,TOP3MATCH,TOP3DIST,VOCALIZATIONS,MANUAL ID*,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200506_070302.wav,0,1778.106689,1.853333,750,1121.822,1125,2020-05-06,07:32:40.106,7,2020-05-05,19:32:40.106,19,cluster.27,0.246088,cluster.26,0.401873,cluster.28,0.855663,1,Lyrtet_female,,,,,CbZltvQk+BLWyLPmGYLMRg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200506_070302.wav,0,1657.818726,0.666667,750,1125,1125,2020-05-06,07:30:39.817,7,2020-05-05,19:30:39.817,19,cluster.27,0.260848,cluster.26,0.351836,cluster.28,0.863587,1,Lyrtet_female,,,,,CbZltvQk+BLWyLPmGYLMRg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200506_070302.wav,0,3256.901367,0.274667,750,1125,1125,2020-05-06,07:57:18.900,7,2020-05-05,19:57:18.900,19,cluster.27,0.348828,cluster.26,0.543162,cluster.28,0.870795,1,Lyrtet_female,,,,,CbZltvQk+BLWyLPmGYLMRg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200506_070302.wav,0,3258.845215,0.229333,562.5,1044.643,1125,2020-05-06,07:57:20.844,7,2020-05-05,19:57:20.844,19,cluster.27,0.48325,cluster.26,0.572112,cluster.28,0.957756,1,Lyrtet_female,,,,,CbZltvQk+BLWyLPmGYLMRg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200506_080302.wav,0,115.405334,0.968,562.5,625,1125,2020-05-06,08:04:57.405,8,2020-05-05,20:04:57.405,20,cluster.27,0.841906,cluster.26,0.945399,cluster.28,1.065305,1,Lyrtet_female,,,,,m7BVUgNtb2XuAe6yIGaUfA==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200506_070302.wav,0,73.917336,0.253333,937.5,1125,1125,2020-05-06,07:04:15.916,7,2020-05-05,19:04:15.916,19,cluster.27,0.884256,cluster.26,0.993864,cluster.28,1.070061,1,Lyrtet_female,,,,,CbZltvQk+BLWyLPmGYLMRg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200506_070302.wav,0,3263.405273,0.349333,562.5,958.333,1125,2020-05-06,07:57:25.405,7,2020-05-05,19:57:25.405,19,cluster.27,0.948749,cluster.21,0.956618,cluster.22,0.960748,1,Lyrtet_female,,,,,CbZltvQk+BLWyLPmGYLMRg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200504_060502.wav,0,1051.629272,0.210667,937.5,1125,1125,2020-05-04,06:22:33.628,6,2020-05-03,18:22:33.628,18,cluster.28,0.141963,cluster.27,0.955559,cluster.26,1.047137,1,Lyrtet_female,,,,,qI2iU4F+DlKO4QVK8KrvLw==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200506_070302.wav,0,1267.59729,0.565333,750,1073.864,1125,2020-05-06,07:24:09.596,7,2020-05-05,19:24:09.596,19,cluster.28,0.391547,cluster.26,0.903286,cluster.27,0.924882,1,Lyrtet_female,,,,,CbZltvQk+BLWyLPmGYLMRg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200506_070302.wav,0,2120.031982,0.746667,562.5,1022.727,1125,2020-05-06,07:38:22.032,7,2020-05-05,19:38:22.032,19,cluster.28,0.958122,cluster.23,0.995322,cluster.22,1.000602,1,Lyrtet_female,,,,,CbZltvQk+BLWyLPmGYLMRg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200506_070302.wav,0,3323.893311,1.490667,562.5,835.938,1125,2020-05-06,07:58:25.893,7,2020-05-05,19:58:25.893,19,cluster.28,0.999406,cluster.27,1.139763,cluster.22,1.156936,1,Lyrtet_female,,,,,CbZltvQk+BLWyLPmGYLMRg==
